dataset,taxa,sites,windows,taxa_sites,cpu_seconds,gpu_seconds
10000_NT_AL,152,1485,6,225720,1453.7961331597844,1271.1241770490867
10001_NT_AL,153,738,3,112914,727.245864697873,635.8661852176173
10006_NT_AL,157,1524,6,239268,1541.0548165376363,1347.418658489194
10009_NT_AL,157,2100,9,329700,2123.5007314494987,1856.6792538236925
1000_NT_AL,153,2739,11,419067,2699.0872945900733,2359.942386600344
100101267_NT_AL,82,3522,14,288804,1860.1016234320325,1626.3766916023587
10010_NT_AL,161,1314,6,211554,1362.5570935428186,1191.3494778993554
10011_NT_AL,152,708,3,107616,693.1230049004224,606.0309207749181
100125288_NT_AL,151,885,4,133635,860.7037314141759,752.5548440543802
100126572_NT_AL,101,633,3,63933,411.773649571613,360.03359033882356
100127206_NT_AL,157,585,3,91845,591.5466323323604,517.2177921366001
100127983_NT_AL,154,366,2,56364,363.02394670130286,317.40937052629243
100128327_NT_AL,157,555,3,87135,561.2109075973676,490.6938027962616
100128908_NT_AL,102,2202,9,224604,1446.608305388181,1264.8395120588918
100129480_NT_AL,160,654,3,104640,673.9554641761467,589.2718141343985
100129669_NT_AL,157,720,3,113040,728.0573936398282,636.5757441681232
100129792_NT_AL,154,807,4,124278,800.4380464151678,699.8616448489562
100129924_NT_AL,143,663,3,94809,610.6368845859738,533.9093217342144
100130274_NT_AL,149,1650,7,245850,1583.4475426959639,1384.4846665227626
100130301_NT_AL,148,504,2,74592,480.42513363749174,420.0588986994749
100130613_NT_AL,128,966,4,123648,796.3804017053917,696.3138500964269
100130742_NT_AL,152,1059,5,160968,1036.7475454654623,906.478453531975
100130771_NT_AL,92,387,2,35604,229.31489245534718,200.5010863000872
100130827_NT_AL,134,1161,5,155574,1002.0063779027126,876.1025727460332
100130890_NT_AL,155,456,2,70680,455.2290922015486,398.0287827123403
100130933_NT_AL,135,177,1,23895,153.90066720650827,134.5627866852203
100130958_NT_AL,132,660,3,87120,561.1142970090395,490.60933149262996
100130988_NT_AL,155,1338,6,207390,1335.737994222965,1167.900244011209
100131017_NT_AL,153,4260,17,651780,4197.923284028372,3670.447085402506
100131137_NT_AL,83,273,2,22659,145.93995472828084,127.60235126597225
100131187_NT_AL,151,342,2,51642,332.61093349564766,290.81780414304865
100131211_NT_AL,156,1245,5,194220,1250.9138976709787,1093.7344394226193
100131755_NT_AL,141,15114,60,2131074,13725.620860700667,12000.97326103449
100131897_NT_AL,159,1647,7,261873,1686.6469731479365,1474.7169130620923
100132146_NT_AL,122,234,1,28548,183.86927170585471,160.7657850717585
