dataset,taxa,sites,windows,taxa_sites,estimate_seconds,estimate_minutes,estimate_hours,low_seconds,high_seconds
10000_NT_AL,152,1485,6,225720,1271.1241770490867,21.185402950818112,0.35309004918030185,1184.9635258857693,1524.3284213359063
10001_NT_AL,153,738,3,112914,635.8661852176173,10.597769753626954,0.17662949589378257,592.7652470399864,762.5288825390861
10006_NT_AL,157,1524,6,239268,1347.418658489194,22.456977641486567,0.3742829606914428,1256.0865360253244,1615.8205418934947
10009_NT_AL,157,2100,9,329700,1856.6792538236925,30.944654230394875,0.5157442371732479,1730.8279039719037,2226.5243687508787
1000_NT_AL,153,2739,11,419067,2359.942386600344,39.33237311000573,0.6555395518334289,2199.9783355589743,2830.036055927584
100101267_NT_AL,82,3522,14,288804,1626.3766916023587,27.106278193372646,0.45177130322287745,1516.1359477667627,1950.346205012826
10010_NT_AL,161,1314,6,211554,1191.3494778993554,19.855824631655924,0.33093041052759875,1110.5961977460483,1428.6628338086848
10011_NT_AL,152,708,3,107616,606.0309207749181,10.100515346248635,0.16834192243747723,564.952307290993,726.7505200712603
100125288_NT_AL,151,885,4,133635,752.5548440543802,12.54258073423967,0.20904301223732782,701.544394744572,902.4615833121736
100126572_NT_AL,101,633,3,63933,360.03359033882356,6.000559838980393,0.10000933064967321,335.629421852095,431.7512358730662
100127206_NT_AL,157,585,3,91845,517.2177921366001,8.620296535610002,0.14367160892683337,482.1592018207446,620.2460741520305
100127983_NT_AL,154,366,2,56364,317.40937052629243,5.290156175438208,0.08816926959063678,295.89440090831783,380.63639526925846
100128327_NT_AL,157,555,3,87135,490.6938027962616,8.17823004660436,0.13630383411007266,457.4330889068603,588.4385831698751
100128908_NT_AL,102,2202,9,224604,1264.8395120588918,21.080658534314864,0.35134430890524776,1179.1048545456642,1516.7918693324912
100129480_NT_AL,160,654,3,104640,589.2718141343985,9.821196902239974,0.16368661503733292,549.3291837173795,706.6530480621533
100129669_NT_AL,157,720,3,113040,636.5757441681232,10.609595736135386,0.17682659560225644,593.4267099332242,763.3797835717298
100129792_NT_AL,154,807,4,124278,699.8616448489562,11.664360747482602,0.1944060124580434,652.4229003634221,839.2720518641846
100129924_NT_AL,143,663,3,94809,533.9093217342144,8.89848869557024,0.14830814492617064,497.7193289283355,640.2625079675524
100130274_NT_AL,149,1650,7,245850,1384.4846665227626,23.074744442046043,0.38457907403410074,1290.64009763874,1660.2699910749272
100130301_NT_AL,148,504,2,74592,420.0588986994749,7.000981644991248,0.11668302741652081,391.58603279670075,503.7334113250395
100130613_NT_AL,128,966,4,123648,696.3138500964269,11.605230834940448,0.19342051391567414,649.1155858972337,835.0175467009665
100130742_NT_AL,152,1059,5,160968,906.478453531975,15.107974225532917,0.2517995704255486,845.0345952276293,1087.0463287506564
100130771_NT_AL,92,387,2,35604,200.5010863000872,3.34168477166812,0.05569474619446867,186.91051468915882,240.44032036701935
100130827_NT_AL,134,1161,5,155574,876.1025727460332,14.60170954576722,0.24336182576278698,816.7176837504549,1050.6196607341499
100130890_NT_AL,155,456,2,70680,398.0287827123403,6.633813045205671,0.11056355075342786,371.0491848733217,477.3149602162939
100130933_NT_AL,135,177,1,23895,134.5627866852203,2.242713111420338,0.037378551857005636,125.44171296757246,161.36730297634892
100130958_NT_AL,132,660,3,87120,490.60933149262996,8.176822191543833,0.1362803698590639,457.354343324332,588.3372854278937
100130988_NT_AL,155,1338,6,207390,1167.900244011209,19.465004066853485,0.32441673444755803,1088.736424036194,1400.5425806346518
100131017_NT_AL,153,4260,17,651780,3670.447085402506,61.17411809004177,1.0195686348340296,3421.653052019434,4401.589484575213
100131137_NT_AL,83,273,2,22659,127.60235126597225,2.126705854432871,0.03544509757388118,118.95307696724103,153.02036903708267
100131187_NT_AL,151,342,2,51642,290.81780414304865,4.846963402384144,0.08078272337306906,271.1052915284108,348.747866093518
100131211_NT_AL,156,1245,5,194220,1093.7344394226193,18.22890732371032,0.3038151220618387,1019.5978025763517,1311.6031631749943
100131755_NT_AL,141,15114,60,2131074,12000.97326103449,200.01622101724152,3.3336036836206917,11187.510902726784,14391.532279682771
100131897_NT_AL,159,1647,7,261873,1474.7169130620923,24.57861521770154,0.4096435869616923,1374.7561288954637,1768.4762390594444
100132146_NT_AL,122,234,1,28548,160.7657850717585,2.679429751195975,0.044657162519932916,149.86859266784927,192.7898625389751
100132916_NT_AL,157,486,2,76302,429.68862731348315,7.1614771218913855,0.11935795203152309,400.5630292049263,515.2813539109176
100132963_NT_AL,128,285,2,36480,205.43421043217563,3.4239035072029274,0.05706505845338212,191.5092567088112,246.35610849873234
100133315_NT_AL,35,1134,5,39690,223.51106940934898,3.7251844901558164,0.062086408169263606,208.36081136986613,268.0338252827491
100133941_NT_AL,70,249,1,17430,98.15565481997865,1.6359275803329776,0.027265459672216292,91.50236689787772,117.70797618237128
10013_NT_AL,156,3867,16,603252,3397.1655238933886,56.61942539822314,0.9436570899703857,3166.895343423897,4073.8710297170305
10015_NT_AL,159,2685,11,426915,2404.1377726604237,40.06896287767373,0.6678160479612288,2241.1780243377775,2883.0350345322454
100169851_NT_AL,125,300,2,37500,211.1782590791279,3.5196376513187984,0.05866062752197997,196.86395632073518,253.24435495346663
100170765_NT_AL,155,501,2,77655,437.3079389010581,7.288465648350968,0.12147442747251613,407.6658807489784,524.4184102376387
100188893_NT_AL,148,222,1,32856,185.0259434747687,3.0837657245794783,0.05139609540965797,172.48432396997535,221.88257403602933
10018_NT_AL,157,633,3,99381,559.6561750811416,9.327602918019027,0.15546004863365043,521.7209824829596,671.1380597234792
10020_NT_AL,162,2169,9,351378,1978.7571818321549,32.97928636386925,0.5496547727311542,1844.6310198417943,2372.9198654623788
10022_NT_AL,142,432,2,61344,345.4538433320006,5.757564055533343,0.09595940092555572,322.03793430771145,414.26724560707885
10024_NT_AL,161,2988,12,481068,2709.096073031411,45.15160121719018,0.7525266869531697,2525.465326381425,3248.7401426334477
10026_NT_AL,156,1206,5,188136,1059.4728786696214,17.657881311160356,0.2942980218526726,987.6585943028756,1270.516799027344
100271715_NT_AL,159,2706,11,430254,2422.941084848829,40.38235141414715,0.6730391902357858,2258.7067910085757,2905.583911897302
100271849_NT_AL,14,1143,5,16002,90.11398671424546,1.5018997785707575,0.025031662976179293,84.00578744118411,108.06443114574328
100272147_NT_AL,149,210,1,31290,176.20713937562434,2.9367856562604056,0.04894642760434009,164.26328515402145,211.30708977317255
100287284_NT_AL,150,1023,4,153450,864.1414361517914,14.402357269196523,0.24003928781994205,805.5673092644483,1036.2759004695854
100287718_NT_AL,156,606,3,94536,532.3719440081182,8.872865733468638,0.14788109555781062,496.28615932632056,638.4188890634912
100288072_NT_AL,149,3141,13,468009,2635.555356089695,43.92592260149492,0.7320987100249153,2456.909422232292,3160.5503284644524
100288814_NT_AL,85,627,3,53295,300.1265418032566,5.002109030054276,0.08336848383423795,279.78305472302884,359.91087725986677
100303755_NT_AL,151,243,1,36693,206.63370294374508,3.443895049062418,0.05739825081770697,192.62744398071297,247.79453643486804
100310846_NT_AL,151,1269,5,191619,1079.087115372891,17.984785256214852,0.29974642093691417,1005.9433185659454,1294.0381347154218
100316904_NT_AL,155,984,4,152520,858.904215326629,14.315070255443818,0.23858450425739694,800.6850831476942,1029.9954404667394
100329135_NT_AL,140,378,2,52920,298.0147592124653,4.966912653541089,0.08278187755901814,277.81441515982146,357.3784337103321
10036_NT_AL,157,2949,12,462993,2607.3081521552713,43.45513586925452,0.7242522644875754,2430.5768994348305,3126.6763635458765
100381270_NT_AL,125,2985,12,373125,2101.2236778373226,35.02039463062204,0.5836732438437007,1958.796365391315,2519.7813317869927
10038_NT_AL,160,1689,7,270240,1521.8350062278273,25.36391677046379,0.42273194617439647,1418.680414829746,1824.980119536662
10040_NT_AL,160,1470,6,235200,1324.5100409442903,22.075167349071503,0.3679194558178584,1234.7307340436512,1588.3485942681427
100423062_NT_AL,20,354,2,7080,39.87045531413935,0.6645075885689892,0.011075126476149819,37.1679149533548,47.8125342152145
10042_NT_AL,161,1923,8,309603,1743.5046012180064,29.05841002030011,0.48430683367166844,1625.3245725004954,2090.8056540442167
10046_NT_AL,150,2775,11,416250,2344.07867577832,39.067977929638666,0.6511329654939777,2185.1899151601606,2811.0123399834797
10047_NT_AL,108,438,2,47304,266.3887031327751,4.439811718879585,0.07399686198132642,248.3320690612282,319.4525591125009
10048_NT_AL,153,1506,6,230418,1297.58058934652,21.62634315577533,0.3604390525962555,1209.626642333631,1556.0548741244766
100499483_NT_AL,148,5169,21,765012,4308.1040622571145,71.8017343709519,1.1966955728491984,4016.0877054090206,5166.265879244304
10049_NT_AL,149,981,4,146169,823.1390653689879,13.718984422816465,0.2286497403802744,767.3442035052144,987.1059765118204
1004_NT_AL,143,2379,10,340197,1915.792272105122,31.929871201752032,0.5321645200292006,1785.934062625204,2297.412528589453
100500938_NT_AL,90,204,1,18360,103.39287564514102,1.7232145940856836,0.028720243234761394,96.38459301463195,123.98843618521725
100505478_NT_AL,120,369,2,44280,249.35928832063422,4.155988138677237,0.06926646897795395,232.4569596235241,299.03093432905337
100505741_NT_AL,148,1332,6,197136,1110.1556608486123,18.502594347476872,0.30837657245794786,1034.905943819852,1331.2954442161758
